Gender,comfort_food,drink,food_childhood
2,none,1,rice  and chicken 
1,"chocolate, chips, ice cream",2,"chicken and biscuits, beef soup, baked beans"
1,"frozen yogurt, pizza, fast food",1,"mac and cheese, pizza, tacos"
1,"Pizza, Mac and cheese, ice cream",2,"Beef stroganoff, tacos, pizza"
1,"Ice cream, chocolate, chips ",2,"Pasta, chicken tender, pizza "
1,"Candy, brownies and soda.",2,"Fries, plaintain & fried fish"
2,"Chocolate, ice cream, french fries, pretzels",1,"grilled chicken, hamburgers"
1,"Ice cream, cheeseburgers, chips.",2,"chicken, cheesey potatoes, and hot dogs"
1,"Donuts, ice cream, chips",1,"Shrimp, spaghetti"
1,"Mac and cheese, chocolate, and pasta ",1,"Pasta, Eggs, Pancakes "
1,"Pasta, grandma homemade chocolate cake anything homemade ",2,Chicken
1,"chocolate, pasta, soup, chips, popcorn",1,Scalloped potatoes and ham 
2,"Cookies, popcorn, and chips",2,"Pizza, chicken wings, and corn on the cob "
1,"ice cream, cake, chocolate",2,"steak, lasagna, crab"
2,"Pizza, fruit, spaghetti, chicken and Potatoes  ",2,Pizza
2,"cookies, donuts, candy bars",2,pizza
1,"Saltfish, Candy and Kit Kat ",1,"Curry, Stew Chicken and Saltfish"
2,"chips, cookies, ice cream",2,"chicken fingers, steak, mac and cheese"
1,"Chocolate, ice crea ",1,Chicken
2,"pizza, wings, Chinese",2,manacotti
2,"Fast food, pizza, subs",2,"pizza, chicken fingers"
2,"chocolate, sweets, ice cream",nan,Pasta
2,"burgers, chips, cookies",1,pasta
2,"Chilli, soup, pot pie",1,Chicken Nuggets
1,"Soup, pasta, brownies, cake",2,Spaghetti 
1,"chocolate, ice cream/milkshake, cookies",1,"Chicken parm, beef stroganof, tacos"
2,"Chips, ice cream, microwaveable foods ",1,"Chicken Parm, Pizza "
2,"Chicken fingers, pizza ",2,Steak
2,"cookies, hot chocolate, beef jerky",1,"Deer Steak, Buttered Pasta, Garlic Pasta"
2,"Tomato soup, pizza, Fritos, Meatball sub, Dr. Pepper",2,"Crab legs, Mushroom soup, homemade rolls"
